ID,Time_zone,Geo_enabled,Followers,Date
7.24291E+17,Eastern Time (US & Canada),0,1678,24
7.24291E+17,Brasilia,0,1068,24
7.24291E+17,Eastern Time (US & Canada),1,383,24
7.12909E+16,Riyadh,0,238,24
7.24291E+17,Brasilia,1,5572,24
7.24291E+17,Mid-Atlantic,1,19,24
7.24291E+17,null,0,377,24
7.24291E+17,Brasilia,0,383,24
7.24291E+17,Pacific Time (US & Canada),1,653,24
7.24291E+17,Eastern Time (US & Canada),0,26,24
7.24291E+17,Pacific Time (US & Canada),0,45,24
7.24291E+17,Pacific Time (US & Canada),0,742,24
7.24291E+17,Pacific Time (US & Canada),0,95,24
7.24291E+17,null,0,111,24
7.24291E+17,Brasilia,0,111,24
7.12911E+16,Brasilia,0,432,24
7.12911E+16,null,1,437,24
7.24291E+17,Pacific Time (US & Canada),0,376,24
7.24291E+17,Pacific Time (US & Canada),0,10326,24
7.24291E+17,null,1,250,24
7.24291E+17,Brasilia,1,3600,24
7.24291E+17,null,1,243,24
7.24291E+17,Santiago,1,282,24
7.12913E+16,Bangkok,1,2178,24
7.12913E+15,Brasilia,1,63,24
7.24291E+17,Eastern Time (US & Canada),0,57,24
7.12913E+16,null,0,177,24
7.24291E+17,null,0,748,24
7.24291E+17,Caracas,0,318,24
7.24291E+17,Brasilia,0,8,24
7.24291E+17,null,1,31,24
7.12914E+16,null,1,50353,24
7.24291E+17,Buenos Aires,1,11,24
7.24291E+17,null,1,706,24
7.12915E+16,null,0,28,24
7.12915E+16,null,0,217825,24
7.24292E+17,Santiago,1,32435,24
7.24292E+17,Santiago,1,486,24
7.12916E+16,Santiago,1,14,24
7.24292E+17,Brasilia,0,492,24
7.24292E+17,Brussels,1,25,24
7.24292E+17,Eastern Time (US & Canada),1,1618,24
7.12916E+14,Quito,1,38,24
7.24292E+17,Brasilia,1,64,24
7.24292E+17,Eastern Time (US & Canada),1,24248,24
7.24292E+17,Brasilia,1,51717,24
7.24292E+17,Central Time (US & Canada),0,657,24
7.12917E+16,null,0,24248,24
7.24292E+17,null,1,359,24
7.24292E+17,null,1,73654,24
7.12917E+16,America\/New_York,1,133,24
7.24292E+17,Santiago,1,1788,24
7.24292E+17,Quito,1,1788,24
7.24292E+17,Lisbon,1,278,24
7.24292E+17,Brasilia,0,1842,24
7.24292E+17,Santiago,1,3216,24
7.24292E+17,Central Time (US & Canada),1,1015,24
7.24292E+17,Santiago,1,33,24
7.12918E+16,Mid-Atlantic,0,1470,24
7.12919E+16,Mexico City,1,24504,24
7.24292E+17,Brasilia,0,1135,24
7.24292E+17,Brasilia,1,19,24
7.24292E+17,Mountain Time (US & Canada),1,372515,24
7.24292E+17,Caracas,1,10,24
7.12919E+16,Central Time (US & Canada),1,511,24
7.24292E+17,Eastern Time (US & Canada),1,1826,24
7.24292E+17,Brasilia,0,8035,24
7.24292E+17,Brasilia,0,528,24
7.24292E+17,null,0,24248,24
7.12919E+16,Eastern Time (US & Canada),1,21,24
7.24292E+17,Kuwait,0,204,24
7.24292E+17,Eastern Time (US & Canada),1,418,24
7.1292E+16,null,0,24248,24
7.24292E+17,Caracas,1,391,24
7.24292E+17,Quito,1,24248,24
7.24292E+17,null,0,189,24
7.24292E+17,null,0,402,24
7.24292E+17,null,0,316,24
7.24292E+17,Brasilia,1,214,24
7.24292E+17,Pacific Time (US & Canada),0,14,24
7.24292E+17,null,1,865,24
7.24292E+17,Pacific Time (US & Canada),0,1274,24
7.24292E+17,null,1,7612,24
7.24292E+17,Atlantic Time (Canada),1,350,24
7.24292E+17,Eastern Time (US & Canada),1,208,24
7.12922E+16,null,1,1901,24
7.24292E+17,null,0,266,24
7.12922E+16,null,1,24247,24
7.24292E+17,Brasilia,1,821,24
7.24292E+17,Santiago,0,76,24
7.24292E+17,Santiago,1,117,24
7.24292E+17,Pacific Time (US & Canada),0,32,24
7.24292E+17,null,0,876,24
7.24292E+17,Pacific Time (US & Canada),0,674,24
7.24292E+17,null,0,4,24
7.24292E+17,null,1,40,24
7.12923E+15,null,1,16,24
7.24292E+17,Central Time (US & Canada),1,8,24
7.24292E+17,Pacific Time (US & Canada),1,252,24
7.24292E+17,America\/New_York,1,422,24
7.12924E+15,null,0,91116,24
7.24292E+17,null,0,7750,24
7.24292E+17,Brasilia,1,320,24
7.12913E+15,Pacific Time (US & Canada),0,504,24
7.24292E+17,null,0,1199,24
7.24292E+17,Santiago,0,followers_count,24
7.24292E+17,null,0,423,24
7.24292E+17,null,1,240,24
7.24292E+17,Santiago,1,85,24
7.12925E+16,Brasilia,0,583,24
7.12925E+16,null,0,2025,24
7.12925E+16,Arizona,1,176,24
7.12928E+15,null,0,5511,24
7.12926E+16,London,1,followers_count,24
7.12926E+15,Central Time (US & Canada),0,62,24
7.12926E+16,null,1,99,24
7.12926E+16,null,0,319,24
7.12926E+16,null,0,20,24
7.12933E+15,Pacific Time (US & Canada),0,642,24
7.12927E+16,Caracas,0,344,24
7.12927E+16,null,0,195,24
7.12927E+16,Brasilia,0,1463,24
7.12927E+16,Pacific Time (US & Canada),0,48,24
7.12928E+16,Dublin,1,938,24
7.12928E+16,null,0,454,24
7.12928E+16,Brasilia,0,10,24
7.12928E+16,null,1,16,24
7.12928E+16,Greenland,1,385,24
7.24293E+17,null,1,232,24
7.24293E+17,Greenland,1,4,24
7.24293E+17,Amsterdam,0,136,24
7.12929E+16,Caracas,0,55,24
7.24293E+17,Pacific Time (US & Canada),0,298,24
7.24293E+17,Pacific Time (US & Canada),0,28,24
7.24293E+17,Greenland,1,298,24
7.24293E+17,null,1,27191,24
7.24293E+17,null,0,376,24
7.24293E+17,null,1,612,24
7.24293E+17,Greenland,1,733,24
7.24293E+17,Pacific Time (US & Canada),0,1091,24
7.24293E+17,Pacific Time (US & Canada),1,169,24
7.24293E+17,null,0,106,24
7.24293E+17,null,0,385,24
7.24293E+17,Eastern Time (US & Canada),1,298,24
7.24293E+17,Arizona,1,157,24
7.24293E+17,Pacific Time (US & Canada),1,181,24
7.24293E+17,Pacific Time (US & Canada),0,1288,24
7.12931E+16,Bogota,0,13,24
7.24293E+17,Santiago,1,249,24
7.24293E+17,Caracas,0,1427,24
7.24293E+17,null,0,751,24
7.12931E+16,Santiago,0,157,24
7.12931E+16,null,0,129007,24
7.24293E+17,null,0,50,24
7.24293E+17,Brasilia,0,6171,24
7.24293E+17,Quito,1,8,24
7.24293E+17,Jakarta,0,1529195,24
7.24293E+17,null,0,50,24
7.24293E+17,null,0,followers_count,24
7.12931E+15,Atlantic Time (Canada),1,50,24
7.24293E+17,null,0,23,24
7.24293E+17,null,1,1105,24
7.24293E+17,Hawaii,1,337,24
7.12933E+16,null,0,3,24
7.24293E+17,null,0,34,24
7.24293E+17,null,0,42148,24
7.24293E+17,Amsterdam,0,37,24
7.24293E+17,null,0,250,24
7.24293E+17,Riga,1,1235,24
7.24293E+17,Brasilia,1,3,24
7.12935E+16,Brasilia,0,16,24
7.12935E+16,Brasilia,1,38,24
7.24294E+17,Bogota,1,27192,24
7.24294E+17,null,0,5,24
7.12935E+16,America\/Sao_Paulo,1,50,24
7.24294E+17,Caracas,0,4145,24
7.24294E+17,Eastern Time (US & Canada),0,128,24
7.24294E+17,null,1,8364,24
7.24294E+17,Central Time (US & Canada),0,1694,24
7.24294E+17,Brasilia,0,2,24
7.24294E+17,Eastern Time (US & Canada),1,3306,24
7.24294E+17,null,0,278,24
7.12937E+16,null,1,170,24
7.24294E+17,Pacific Time (US & Canada),1,5255,24
7.24294E+17,Brasilia,1,followers_count,24
7.24294E+17,Central Time (US & Canada),1,121,24
7.24294E+17,Central Time (US & Canada),1,52,24
7.24294E+17,Brasilia,0,115,24
7.24294E+17,null,0,102,24
7.24294E+17,Arizona,1,5255,24
7.12939E+16,null,0,272,24
7.24294E+17,null,0,followers_count,24
7.24294E+17,Quito,0,204,24
7.24294E+17,Pacific Time (US & Canada),1,1142,24
7.24294E+17,Central Time (US & Canada),1,704,24
7.24294E+17,null,0,1179,24
7.24294E+17,Brasilia,1,1101,24
7.1294E+16,Brasilia,1,1049,24
7.24294E+17,Central Time (US & Canada),1,489,24
7.24294E+17,null,0,136,24
7.1294E+16,Atlantic Time (Canada),1,1895,24
7.24294E+17,Pacific Time (US & Canada),1,102,24
7.24294E+17,null,0,704,24
7.24294E+17,null,0,274,24
7.24294E+17,Central Time (US & Canada),1,894,24
7.24294E+17,Central Time (US & Canada),1,1513,24
7.12941E+15,null,1,704,24
7.12942E+15,Brasilia,1,37,24
7.24294E+17,null,0,14235,24
7.24294E+17,null,0,102,24
7.24294E+17,Atlantic Time (Canada),1,515,24
7.24294E+17,null,0,3027,24
7.24294E+17,Brasilia,0,704,24
7.12942E+16,Brasilia,1,704,24
7.24294E+17,Brasilia,1,140,24
7.24294E+17,Brasilia,1,1669,24
7.12943E+16,Pacific Time (US & Canada),0,936,24
7.12943E+16,null,1,10,24
7.24294E+17,null,1,171,24
7.24294E+17,Brasilia,0,189,24
7.24294E+17,Brasilia,0,92,24
7.24294E+17,Pacific Time (US & Canada),0,571,24
7.24294E+17,Mountain Time (US & Canada),0,3161,24
7.24294E+17,Eastern Time (US & Canada),0,596,24
7.24294E+17,Eastern Time (US & Canada),1,58,24
7.24294E+17,Atlantic Time (Canada),1,79,24
7.24294E+17,null,1,878,24
7.24294E+17,Seoul,1,71,24
7.24294E+17,Santiago,1,239,24
7.24294E+17,Central Time (US & Canada),1,565,24
7.24294E+17,Pacific Time (US & Canada),1,35,24
7.24294E+17,Caracas,1,114045,24
7.24295E+17,Central Time (US & Canada),1,887225,24
7.24295E+17,Pacific Time (US & Canada),1,13981,24
7.24295E+17,null,0,174,24
7.24295E+17,Central Time (US & Canada),1,191,24
7.24295E+17,Eastern Time (US & Canada),0,2604,24
7.24295E+17,Eastern Time (US & Canada),1,704,24
7.24295E+17,Santiago,1,361,24
7.12946E+16,Eastern Time (US & Canada),0,418,24
7.24295E+17,Central Time (US & Canada),1,704,24
7.24295E+17,London,0,204,24
7.24295E+17,null,0,11,24
7.24295E+17,Central Time (US & Canada),1,704,24
7.12947E+16,Eastern Time (US & Canada),0,10422,24
7.24295E+17,Greenland,1,1869,24
7.24295E+17,null,0,4339,24
7.24295E+17,Paris,0,1496,24
7.24295E+17,Brasilia,1,704,24
7.24295E+17,Pacific Time (US & Canada),0,296,24
7.24295E+17,null,1,105,24
7.24295E+17,Central Time (US & Canada),1,704,24
7.24295E+17,null,0,71,24
7.12949E+16,Madrid,1,3620,24
7.24295E+17,Brasilia,0,1392,24
7.24295E+17,null,0,76,24
7.24295E+17,Pacific Time (US & Canada),0,7339,24
